Year,State,Total_SqMi
2006,MN,"86,936"
2006,MO,"69,707"
2006,MS,"48,432"
2006,MT,"147,040"
2006,NC,"53,819"
2006,ND,"70,698"
2006,NE,"77,348"
2006,NH,"9,349"
2006,NJ,"8,723"
2006,NM,"121,590"
2006,NV,"110,572"
2006,NY,"54,555"
2006,OH,"44,826"
2006,OK,"69,899"
2006,OR,"98,379"
2006,PA,"46,054"
2006,RI,"1,545"
2006,SC,"32,020"
2006,SD,"77,116"
2006,TN,"42,144"
2006,TX,"268,596"
2006,UT,"84,897"
2006,VA,"42,775"
2006,VT,"9,616"
2006,WA,"71,298"
2006,WI,"65,496"
2006,WV,"24,230"
2006,WY,"97,813"
2007,AK,"665,384"
2007,AL,"52,420"
2007,AR,"53,179"
2007,AZ,"113,990"
2007,CA,"163,695"
2007,CO,"104,094"
2007,CT,"5,543"
2007,DE,"2,489"
2007,FL,"65,758"
2007,GA,"59,425"
2007,HI,"10,932"
2007,IA,"56,273"
2007,ID,"83,569"
2007,IL,"57,914"
2007,IN,"36,420"
2007,KS,"82,278"
2007,KY,"40,408"
2007,LA,"52,378"
2007,MA,"10,554"
2007,MD,"12,406"
2007,ME,"35,380"
2007,MI,"96,714"
2007,MN,"86,936"
2007,MO,"69,707"
2007,MS,"48,432"
2007,MT,"147,040"
2007,NC,"53,819"
2007,ND,"70,698"
2007,NE,"77,348"
2007,NH,"9,349"
2007,NJ,"8,723"
2007,NM,"121,590"
2007,NV,"110,572"
2007,NY,"54,555"
2007,OH,"44,826"
2007,OK,"69,899"
2007,OR,"98,379"
2007,PA,"46,054"
2007,RI,"1,545"
2007,SC,"32,020"
2007,SD,"77,116"
2007,TN,"42,144"
2007,TX,"268,596"
2007,UT,"84,897"
2007,VA,"42,775"
2007,VT,"9,616"
2007,WA,"71,298"
2007,WI,"65,496"
2007,WV,"24,230"
2007,WY,"97,813"
2008,AK,"665,384"
2008,AL,"52,420"
2008,AR,"53,179"
2008,AZ,"113,990"
2008,CA,"163,695"
2008,CO,"104,094"
2008,CT,"5,543"
2008,DE,"2,489"
2008,FL,"65,758"
2008,GA,"59,425"
2008,HI,"10,932"
2008,IA,"56,273"
2008,ID,"83,569"
2008,IL,"57,914"
2008,IN,"36,420"
2008,KS,"82,278"
2008,KY,"40,408"
2008,LA,"52,378"
2008,MA,"10,554"
2008,MD,"12,406"
2008,ME,"35,380"
2008,MI,"96,714"
2008,MN,"86,936"
2008,MO,"69,707"
2008,MS,"48,432"
2008,MT,"147,040"
2008,NC,"53,819"
2008,ND,"70,698"
2008,NE,"77,348"
2008,NH,"9,349"
2008,NJ,"8,723"
2008,NM,"121,590"
2008,NV,"110,572"
2008,NY,"54,555"
2008,OH,"44,826"
2008,OK,"69,899"
2008,OR,"98,379"
2008,PA,"46,054"
2008,RI,"1,545"
2008,SC,"32,020"
2008,SD,"77,116"
2008,TN,"42,144"
2008,TX,"268,596"
2008,UT,"84,897"
2008,VA,"42,775"
2008,VT,"9,616"
2008,WA,"71,298"
2008,WI,"65,496"
2008,WV,"24,230"
2008,WY,"97,813"
2009,AK,"665,384"
2009,AL,"52,420"
2009,AR,"53,179"
2009,AZ,"113,990"
2009,CA,"163,695"
2009,CO,"104,094"
2009,CT,"5,543"
2009,DE,"2,489"
2009,FL,"65,758"
2009,GA,"59,425"
2009,HI,"10,932"
2009,IA,"56,273"
2009,ID,"83,569"
2009,IL,"57,914"
2009,IN,"36,420"
2009,KS,"82,278"
2009,KY,"40,408"
2009,LA,"52,378"
2009,MA,"10,554"
2009,MD,"12,406"
2009,ME,"35,380"
2009,MI,"96,714"
2009,MN,"86,936"
2009,MO,"69,707"
2009,MS,"48,432"
2009,MT,"147,040"
2009,NC,"53,819"
2009,ND,"70,698"
