Year,State,Total_Sen_Votes,Dem_Sen_Votes,Rep_Sen_Votes
2004,WI,2949743.0,1632697.0,1301183.0
2004,WV,436183.0,275281.0,160902.0
2004,WY,183280.0,49570.0,133710.0
2005,AK,308315.0,140424.0,149773.0
2005,AL,1839066.0,595018.0,1242200.0
2005,AR,1039349.0,580973.0,458036.0
2005,AZ,1961677.0,404507.0,1505372.0
2005,CA,12053295.0,6955728.0,4555922.0
2005,CO,2107472.0,1081188.0,980668.0
2005,CT,1424726.0,945347.0,457749.0
2005,DE,232314.0,135253.0,94793.0
2005,FL,7429894.0,3590201.0,3672864.0
2005,GA,3220981.0,1287690.0,1864202.0
2005,HI,415347.0,313629.0,87172.0
2005,IA,1479228.0,412365.0,1038175.0
2005,ID,503932.0,132975.0,499796.0
2005,IL,5141520.0,3597456.0,1390690.0
2005,IN,2428233.0,1496976.0,903913.0
2005,KS,1129022.0,310337.0,780863.0
2005,KY,1724362.0,850855.0,873507.0
2005,LA,1848056.0,877482.0,943014.0
2005,MA,2220301.0,1605976.0,334341.0
2005,MD,2321931.0,1504691.0,783055.0
2005,ME,504899.0,209858.0,295041.0
2005,MI,3129287.0,1896614.0,1185545.0
2005,MN,2254636.0,1078627.0,1116697.0
2005,MO,2706402.0,1158261.0,1518089.0
2005,MS,630495.0,314090.0,533269.0
2005,MT,326537.0,204853.0,103611.0
2005,NC,3472082.0,1632527.0,1791450.0
2005,ND,310696.0,212143.0,98553.0
2005,NE,480217.0,70290.0,397438.0
2005,NH,657086.0,221549.0,434847.0
2005,NJ,2112604.0,1138193.0,928439.0
2005,NM,483056.0,168863.0,314193.0
2005,NV,810068.0,494805.0,284640.0
2005,NY,7447818.0,4384907.0,1625069.0
2005,OH,5425823.0,1961171.0,3464356.0
2005,OK,1446846.0,596750.0,763433.0
2005,OR,1780550.0,1128728.0,565254.0
2005,PA,5559105.0,2334126.0,2925080.0
2005,RI,323582.0,253774.0,69808.0
2005,SC,1597221.0,704384.0,857167.0
2005,SD,391188.0,193340.0,197848.0
2005,TN,1642432.0,728232.0,891498.0
2005,TX,4514012.0,1955758.0,2496243.0
2005,UT,911726.0,258955.0,626640.0
2005,VA,1489422.0,1296093.0,1229894.0
2005,VT,307208.0,216972.0,75398.0
2005,WA,2818651.0,1549708.0,1204584.0
2005,WI,2949743.0,1632697.0,1301183.0
2005,WV,436183.0,275281.0,160902.0
2005,WY,183280.0,49570.0,133710.0
2006,AK,308315.0,140424.0,149773.0
2006,AL,1839066.0,595018.0,1242200.0
2006,AR,1039349.0,580973.0,458036.0
2006,AZ,1526782.0,664141.0,814398.0
2006,CA,8541476.0,5076289.0,2990822.0
2006,CO,2107472.0,1081188.0,980668.0
2006,CT,1134777.0,450844.0,109198.0
2006,DE,242972.0,170567.0,69734.0
2006,FL,4793534.0,2890548.0,1826127.0
2006,GA,3220981.0,1287690.0,1864202.0
2006,HI,342842.0,210330.0,126097.0
2006,IA,1479228.0,412365.0,1038175.0
2006,ID,503932.0,132975.0,499796.0
2006,IL,5141520.0,3597456.0,1390690.0
2006,IN,1341111.0,1496976.0,1171553.0
2006,KS,1129022.0,310337.0,780863.0
2006,KY,1724362.0,850855.0,873507.0
2006,LA,1848056.0,877482.0,943014.0
2006,MA,2243835.0,1500738.0,661532.0
2006,MD,1781139.0,965477.0,787182.0
2006,ME,545128.0,113131.0,405596.0
2006,MI,3780142.0,2151278.0,1559597.0
2006,MN,2202772.0,1278849.0,835653.0
2006,MO,2128459.0,1055255.0,1006941.0
2006,MS,610921.0,213000.0,388399.0
2006,MT,406505.0,199845.0,196283.0
2006,NC,3472082.0,1632527.0,1791450.0
2006,ND,218152.0,150146.0,64417.0
2006,NE,592316.0,378388.0,213928.0
2006,NH,657086.0,221549.0,434847.0
2006,NJ,2250070.0,1200843.0,997775.0
2006,NM,558550.0,394365.0,163826.0
2006,NV,582572.0,238796.0,322501.0
2006,NY,4700632.0,2698931.0,1212902.0
2006,OH,4019236.0,2257369.0,1761037.0
2006,OK,1446846.0,596750.0,763433.0
2006,OR,1780550.0,1128728.0,565254.0
2006,PA,4081043.0,2392984.0,1684778.0
2006,RI,384993.0,206043.0,178950.0
2006,SC,1597221.0,704384.0,857167.0
2006,SD,391188.0,193340.0,197848.0
2006,TN,1833695.0,879976.0,929911.0
2006,TX,4314663.0,1555202.0,2661789.0
