Year,State,Total_Pres_Votes,Dem_Pres_Votes,Rep_Pres_Votes
2009,OH,5708350.0,2940044.0,2677820.0
2009,OK,1462661.0,502496.0,960165.0
2009,OR,1827864.0,1037291.0,738475.0
2009,PA,6013272.0,3276363.0,2655885.0
2009,RI,471766.0,296571.0,165391.0
2009,SC,1920969.0,862449.0,1034896.0
2009,SD,381975.0,170924.0,203054.0
2009,TN,2599749.0,1087437.0,1479178.0
2009,TX,8077795.0,3528633.0,4479328.0
2009,UT,952370.0,327670.0,596030.0
2009,VA,3723260.0,1959532.0,1725005.0
2009,VT,325046.0,219262.0,98974.0
2009,WA,3036878.0,1750848.0,1229216.0
2009,WI,2983417.0,1677211.0,1262393.0
2009,WV,713451.0,303857.0,397466.0
2009,WY,254904.0,82868.0,164958.0
2010,AK,326197.0,123594.0,193841.0
2010,AL,2099819.0,813479.0,1266546.0
2010,AR,1086617.0,422310.0,638017.0
2010,AZ,2293475.0,1034707.0,1230111.0
2010,CA,13561900.0,8274473.0,5011781.0
2010,CO,2401361.0,1288576.0,1073589.0
2010,CT,1646792.0,997772.0,629428.0
2010,DE,412412.0,255459.0,152374.0
2010,FL,8390744.0,4282074.0,4045624.0
2010,GA,3924486.0,1844123.0,2048759.0
2010,HI,456064.0,325871.0,120566.0
2010,IA,1537123.0,828940.0,682379.0
2010,ID,655122.0,236440.0,403012.0
2010,IL,5522371.0,3419348.0,2031179.0
2010,IN,2751054.0,1374039.0,1345648.0
2010,KS,1235872.0,514765.0,699655.0
2010,KY,1826620.0,751985.0,1048462.0
2010,LA,1960761.0,782989.0,1148275.0
2010,MA,3102995.0,1904097.0,1108854.0
2010,MD,2631596.0,1629467.0,959862.0
2010,ME,731163.0,421923.0,295273.0
2010,MI,5001596.0,2872579.0,2048639.0
2010,MN,2910369.0,1573354.0,1275409.0
2010,MO,2925205.0,1441911.0,1445814.0
2010,MS,1289865.0,554662.0,724597.0
2010,MT,490109.0,231667.0,242763.0
2010,NC,4310851.0,2142651.0,2128474.0
2010,ND,316621.0,141278.0,168601.0
2010,NE,801281.0,333319.0,452979.0
2010,NH,710970.0,384826.0,316534.0
2010,NJ,3868237.0,2215422.0,1613207.0
2010,NM,830158.0,472422.0,346832.0
2010,NV,967848.0,533736.0,412827.0
2010,NY,7722019.0,4645332.0,2418323.0
2010,OH,5708350.0,2940044.0,2677820.0
2010,OK,1462661.0,502496.0,960165.0
