YEAR,STATE,Non-Renewable,Renewable,Total
2007,TX,393560247.0,11932049.0,405492296.0
2007,UT,44638838.0,733737.0,45372575.0
2007,VA,74546672.0,3813835.0,78360507.0
2007,VT,4713428.0,1110154.0,5823582.0
2007,WA,24430467.0,82559749.0,106990217.0
2007,WI,60545030.0,2845601.0,63390630.0
2007,WV,92511125.0,1421985.0,93933109.0
2007,WY,44149182.0,1484305.0,45633486.0
2008,AK,5598284.0,1176551.0,6774834.0
2008,AL,136376434.0,9493462.0,145869895.0
2008,AR,48877397.0,6173130.0,55050528.0
2008,AZ,112059612.0,7399559.0,119459172.0
2008,CA,159072516.0,48911747.0,207984263.0
2008,CO,48117816.0,5323778.0,53441594.0
2008,CT,29119781.0,1289691.0,30409473.0
2008,DE,7360464.0,163375.0,7523839.0
2008,FL,215127793.0,4509026.0,219636818.0
2008,GA,131246808.0,4926588.0,136173395.0
2008,HI,10515244.0,861140.0,11376385.0
2008,IA,48016640.0,5070147.0,53086786.0
2008,ID,1859639.0,10110913.0,11970553.0
2008,IL,196301652.0,3173527.0,199475178.0
2008,IN,128562121.0,948174.0,129510294.0
2008,KS,44860335.0,1769986.0,46630321.0
2008,KY,95486252.0,2377090.0,97863340.0
2008,LA,88679093.0,3774048.0,92453141.0
2008,MA,40094288.0,2411189.0,42505478.0
2008,MD,44774389.0,2586563.0,47360953.0
2008,ME,8579530.0,8515390.0,17094919.0
2008,MI,111034286.0,3955520.0,114989806.0
2008,MN,48185416.0,6577943.0,54763360.0
2008,MO,88735997.0,2292799.0,91028795.0
2008,MS,46814385.0,1391326.0,48205711.0
2008,MT,18933484.0,10703653.0,29637137.0
2008,NC,120283208.0,4955855.0,125239063.0
2008,ND,29775404.0,2959175.0,32734579.0
2008,NE,31751954.0,621569.0,32373522.0
2008,NH,20068784.0,2808208.0,22876992.0
2008,NJ,62743727.0,931063.0,63674789.0
2008,NM,35035878.0,1973960.0,37009837.0
2008,NV,31800520.0,3289453.0,35089974.0
2008,NY,110280311.0,30041788.0,140322100.0
2008,OH,152402441.0,1009811.0,153412251.0
2008,OK,69966932.0,6361977.0,76328908.0
2008,OR,21490316.0,37228122.0,58718438.0
2008,PA,216998292.0,5352635.0,222350925.0
2008,RI,7223882.0,163384.0,7387266.0
2008,SC,98039065.0,2938941.0,100978005.0
2008,SD,3942764.0,3139908.0,7082672.0
2008,TN,84051928.0,6611383.0,90663312.0
2008,TX,386109220.0,18678561.0,404787781.0
2008,UT,45608817.0,969946.0,46578763.0
2008,VA,68969080.0,3709453.0,72678531.0
2008,VT,4901974.0,1918242.0,6820216.0
2008,WA,28253255.0,82575196.0,110828451.0
2008,WI,60109477.0,3370077.0,63479555.0
2008,WV,89483539.0,1639557.0,91123097.0
2008,WY,44702631.0,1797817.0,46500448.0
2009,AK,5364877.0,1337282.0,6702159.0
2009,AL,127670327.0,15585230.0,143255556.0
2009,AR,51679483.0,5778257.0,57457739.0
2009,AZ,105341584.0,6629666.0,111971250.0
2009,CA,151348434.0,53427698.0,204776132.0
2009,CO,45434254.0,5131697.0,50565952.0
2009,CT,29937946.0,1268276.0,31206222.0
2009,DE,4715952.0,125611.0,4841563.0
2009,FL,213403775.0,4548534.0,217952308.0
2009,GA,122613523.0,6084852.0,128698376.0
2009,HI,10193050.0,817484.0,11010533.0
2009,IA,43300298.0,8559766.0,51860063.0
2009,ID,1798572.0,11301580.0,13100152.0
2009,IL,190198225.0,3666132.0,193864357.0
2009,IN,114460974.0,2209306.0,116670280.0
2009,KS,43801243.0,2876065.0,46677308.0
2009,KY,86949251.0,3681175.0,90630427.0
2009,LA,87393366.0,3600310.0,90993676.0
2009,MA,36536318.0,2430334.0,38966651.0
2009,MD,41335282.0,2439548.0,43774832.0
2009,ME,8199926.0,8149923.0,16349849.0
2009,MI,97207496.0,3995111.0,101202605.0
2009,MN,44946104.0,7545745.0,52491849.0
2009,MO,85962774.0,2391498.0,88354272.0
2009,MS,47277205.0,1424279.0,48701484.0
2009,MT,16291229.0,10421506.0,26712735.0
2009,NC,111342742.0,7064661.0,118407403.0
2009,ND,29712114.0,4484353.0,34196467.0
2009,NE,33119372.0,882519.0,34001892.0
2009,NH,17285694.0,2878428.0,20164122.0
2009,NJ,60819327.0,991912.0,61811239.0
2009,NM,37822994.0,1851345.0,39674339.0
2009,NV,33436126.0,4269007.0,37705133.0
2009,NY,101068436.0,32082114.0,133150550.0
2009,OH,134929069.0,1161156.0,136090225.0
2009,OK,68584963.0,6481846.0,75066809.0
2009,OR,19384917.0,37305940.0,56690856.0
2009,PA,213461349.0,6034794.0,219496144.0
2009,RI,7547489.0,149336.0,7696824.0
2009,SC,96045509.0,4079976.0,100125486.0
2009,SD,3337325.0,4859207.0,8196531.0
2009,TN,68554458.0,11162430.0,79716889.0
2009,TX,375034777.0,22133133.0,397167910.0
2009,UT,42221152.0,1321793.0,43542946.0
2009,VA,66185917.0,3896149.0,70082066.0
2009,VT,5367478.0,1914870.0,7282348.0
2009,WA,26492759.0,77977375.0,104470133.0
2009,WI,56224777.0,3734283.0,59959060.0
2009,WV,68394986.0,2387528.0,70782514.0
